id,pokemon,species,genus,family
936,armarouge,,,
937,ceruledge,,,
938,tadbulb,,,
939,bellibolt,,,
940,wattrel,,,
941,kilowattrel,,,
942,maschiff,,,
943,mabosstiff,,,
944,shroodle,,,
945,grafaiai,,,
946,bramblin,,,
947,brambleghast,,,
948,toedscool,,,
949,toedscruel,,,
950,klawf,,,
951,capsakid,,,
952,scovillain,,,
953,rellor,,,
954,rabsca,,,
955,flittle,,,
956,espathra,,,
957,tinkatink,,,
958,tinkatuff,,,
959,tinkaton,,,
960,wiglett,,,
961,wugtrio,,,
962,bombirdier,,,
963,finizen,,,
964,palafin-zero,,,
965,varoom,,,
966,revavroom,,,
967,cyclizar,,,
968,orthworm,,,
969,glimmet,,,
970,glimmora,,,
971,greavard,,,
972,houndstone,,,
973,flamigo,,,
974,cetoddle,,,
975,cetitan,,,
976,veluza,,,
977,dondozo,,,
978,tatsugiri-curly,,,
979,annihilape,,,
980,clodsire,,,
981,farigiraf,,,
982,dudunsparce-two-segment,,,
983,kingambit,,,
984,great-tusk,,,
985,scream-tail,,,
986,brute-bonnet,,,
987,flutter-mane,,,
988,slither-wing,,,
989,sandy-shocks,,,
990,iron-treads,,,
991,iron-bundle,,,
992,iron-hands,,,
993,iron-jugulis,,,
994,iron-moth,,,
995,iron-thorns,,,
996,frigibax,,,
997,arctibax,,,
998,baxcalibur,,,
999,gimmighoul,,,
1000,gholdengo,,,
1001,wo-chien,,,
1002,chien-pao,,,
1003,ting-lu,,,
1004,chi-yu,,,
1005,roaring-moon,,,
1006,iron-valiant,,,
1007,koraidon,,,
1008,miraidon,,,
1009,walking-wake,,,
1010,iron-leaves,,,
1011,dipplin,,,
1012,poltchageist,,,
1013,sinistcha,,,
1014,okidogi,,,
1015,munkidori,,,
1016,fezandipiti,,,
1017,ogerpon,,,
1018,archaludon,,,
1019,hydrapple,,,
1020,gouging-fire,,,
1021,raging-bolt,,,
1022,iron-boulder,,,
1023,iron-crown,,,
1024,terapagos,,,
1025,pecharunt,,,
